사고 지점명,사고건수,사상자수,사망자수,중상자수,경상자수
서울특별시 강남구 자곡동(자곡사거리 부근),4,5,0,2,3
서울특별시 강남구 삼성동(강남운전면허시험장 부근),4,4,0,2,2
서울특별시 강남구 수서동(수서역앞교차로 부근),4,4,0,2,1
서울특별시 강남구 압구정동(동호대교JC 부근),4,7,0,1,6
서울특별시 강남구 대치동(우석빌딩 부근),4,4,0,1,2
