,기사 제목,url
48,"아이스크림에듀, 공주대와 RISE ‘늘봄학교 고도화’ 맞손",https://www.sedaily.com/NewsView/2GQCWJ9MSZ
49,"남서울대, SW미래채움 사업 2024 연차평가 최상위 등급 달성",http://www.dynews.co.kr/news/articleView.html?idxno=788432
50,"아이스크림에듀, 공주대와 업무협약 체결",https://www.venturesquare.net/961313
51,남서울대 SW미래채움 사업 2024 연차평가 최상위 등급 달성,http://www.veritas-a.com/news/articleView.html?idxno=541529
52,남서울대 '제28회 2024학년도 학위수여식' 개최,http://www.veritas-a.com/news/articleView.html?idxno=541405
53,남서울대 탄소중립 그린캠퍼스 구축 위한 업무협약 체결,http://www.veritas-a.com/news/articleView.html?idxno=540724
54,남서울대 '5R 코칭 리더십' 교육 실시,http://www.veritas-a.com/news/articleView.html?idxno=540602
55,남서울대 새마을동아리 천안시복지재단에 후원금 기부,http://www.veritas-a.com/news/articleView.html?idxno=540611
56,남서울대 인도네시아 수마트라 우타라대학과 학술대회 공동 개최,http://www.veritas-a.com/news/articleView.html?idxno=540270
57,"남서울대, 대전시교육청 늘봄학교 운영기관 선정",http://www.veritas-a.com/news/articleView.html?idxno=539961
58,남서울대-순천향대 XR 공동연구/인재양성 위한 업무협약 체결,http://www.veritas-a.com/news/articleView.html?idxno=540083
59,"남서울대, CES 2025에서 세계적인 주목을 받다",http://www.veritas-a.com/news/articleView.html?idxno=539039
60,공주대 ‘충남 RISE 늘봄학교 고도화’ 교육기관과 업무협약,https://www.news1.kr/local/daejeon-chungnam/5721939
61,"""생각과 의지가 운명 바꾼다""…광주경총, '금요조찬 포럼'",https://www.newsis.com/view/NISX20250314_0003098650
62,"남서울대-순천향대, XR분야 연구 손 잡았다",https://www.kukinews.com/article/view/kuk202501220070
63,남서울대 교직원 30주년 기념 성경 6독 감사예배 진행,http://www.veritas-a.com/news/articleView.html?idxno=535498
64,남서울대 '2024 충남 소프트웨어 미래채움 네트워킹 데이' 성료,http://www.veritas-a.com/news/articleView.html?idxno=534041
65,남서울대 '화정 공정자 총장의 신앙과 교육철학 세미나' 성료,http://www.veritas-a.com/news/articleView.html?idxno=533026
66,남서울대 '2024년 충남창업보육인의 날 행사'서 입주기업 두 곳 수상,http://www.veritas-a.com/news/articleView.html?idxno=532745
67,"남서울대 국제대학원 IBEC 이수자, IB 국제학교 교사로 임용",http://www.veritas-a.com/news/articleView.html?idxno=532283
68,남서울대 가상인간 영상 편집 플랫폼 'AI 스튜디오스' 도입,http://www.veritas-a.com/news/articleView.html?idxno=532017
69,"남서울대, 개교 30주년 기념 축하 연주회 성황리에 개최",http://www.veritas-a.com/news/articleView.html?idxno=531899
70,남서울대 개교 30주년 기념 축하 연주회 성료,http://www.veritas-a.com/news/articleView.html?idxno=531839
71,"딥브레인AI, 남서울대에 AI 스튜디오스 도입",https://www.etnews.com/20241125000213
72,남서울대 청주맹학교에 3D 촉지도 기증,http://www.veritas-a.com/news/articleView.html?idxno=531142
73,남서울대 창업보육센터-티엔에이치텍 '2024년 창업 인큐베이팅 경진대회' 우수상 수상,http://www.veritas-a.com/news/articleView.html?idxno=531043
74,남서울대 '제4회 국제 한국어 말하기 대회' 성료,http://www.veritas-a.com/news/articleView.html?idxno=530893
75,"남서울대 가상현실학과, 제10회 VRAR콘텐츠 전시회 성황리 개최",http://www.veritas-a.com/news/articleView.html?idxno=530516
76,남서울대-성환읍행정복지센터 '사랑의 김장김치' 전달,http://www.veritas-a.com/news/articleView.html?idxno=530720
77,남서울대 시각미디어디자인학과 제59회 대한민국디자인전람회 최다 수상,http://www.veritas-a.com/news/articleView.html?idxno=530352
78,남서울대 시각미디어디자인학과 한성기업과 캡스톤디자인 수업 진행,http://www.veritas-a.com/news/articleView.html?idxno=529780
79,남서울대 'IPP형 일학습병행 사업' 선정,http://www.veritas-a.com/news/articleView.html?idxno=529506
80,남서울대 베트남산업상업대와 MOU 체결,http://www.veritas-a.com/news/articleView.html?idxno=528485
81,남서울대 베트남 호치민에 '남서울 K-센터' 설립,http://www.veritas-a.com/news/articleView.html?idxno=528161
82,남서울대 SW미래채움 충남센터 코딩프로젝트 챌린지서 '과기정통부 장관상' 수상,http://www.veritas-a.com/news/articleView.html?idxno=527288
83,"29개 대학, 한국장학재단과 글로벌 연수 기회 확대",https://www.newsis.com/view/NISX20250410_0003133890
84,"남서울대, 베트남 산업상업대와 학술·문화 교류 협약",http://www.dynews.co.kr/news/articleView.html?idxno=776276
85,남서울대 가상인간 영상 편집 플랫폼 'AI 스튜디오스' 도입,https://www.ccdailynews.com/news/articleView.html?idxno=2311187
86,"아이호퍼-xAI, 남서울대 빅데이터콘텐츠융합학과 수업 부교재 채택",https://www.etnews.com/20241108000190
87,남서울대 국제대학원 '재활운동학과' 신설,http://www.veritas-a.com/news/articleView.html?idxno=530775
88,남서울대 '청년고용협의회' 발족식 개최,http://www.veritas-a.com/news/articleView.html?idxno=524644
89,"남서울대, 우크라이나 우신스키대와 교류 협력 논의",http://www.veritas-a.com/news/articleView.html?idxno=524288
90,"광주경총, 제1678회 금요조찬 포럼 성료",http://www.kjdaily.com/article.php?aid=1742126045652477004
91,남서울대 '제21회 코칭컨페스티벌' 참가,http://www.veritas-a.com/news/articleView.html?idxno=523144
92,남서울대 '2024 작은 실천으로 큰 사랑을' 환경정화 봉사활동 실시,http://www.veritas-a.com/news/articleView.html?idxno=522715
93,남서울대 새마을 동아리 등 목천읍 벽화그리기 봉사 전개,https://www.ccdailynews.com/news/articleView.html?idxno=2300205
94,"남서울대, 충남지역 사회 서비스 제공자 대상 건강관리 교육 실시",http://www.veritas-a.com/news/articleView.html?idxno=522507
95,"남서울대 벽화그리기 봉사 실시.. ""작은 실천으로 큰 사랑을""",http://www.veritas-a.com/news/articleView.html?idxno=522495
96,남서울대-알앤디어스 '2024 충남창업보육센터 입주기업 창업경진대회' 장려상 수상,http://www.veritas-a.com/news/articleView.html?idxno=522373
97,남서울대 '2024년 지/산/학/연 네트워킹 세미나' 성황리 개최,http://www.veritas-a.com/news/articleView.html?idxno=521639
98,남서울대 소프트웨어(SW) 미래채움 청양 정산초서 SW캠프 성료,http://www.veritas-a.com/news/articleView.html?idxno=521327
99,남서울대 천안시 청년발전 유공자 표창 수상,http://www.veritas-a.com/news/articleView.html?idxno=520979
